lambda,psnr,image_name,bpp,wsmse,wspsnr,time
0.0001,40.627466,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,1.520215,1,40.00561727560256,88.2
0.0001,40.689448,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,1.592545,0,40.68948114269695,98.1
0.0001,40.727018,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,1.530364,1,40.11547538324555,88.0
0.0001668100537200059,39.177794,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,1.227152,1,38.48823978503345,88.0
0.0002782559402207126,37.673211,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.966441,1,36.89535671087833,87.6
0.00046415888336127773,36.196248,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.755564,1,35.345706788923955,87.8
0.000774263682681127,34.705113,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.573544,1,33.76784542227692,88.0
0.001291549665014884,33.316915,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.437995,1,32.30393208485011,87.9
0.002154434690031882,31.904266,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.314981,1,30.87085368365825,88.1
0.003593813663804626,30.825631,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.24169,1,29.744212852006466,87.6
0.005994842503189409,29.767583,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.184112,1,28.722758453268433,87.7
0.01,28.828331,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.145013,1,27.765590983097134,88.1
0.0001,40.605935,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,1.590455,0,40.60593053572311,96.3
0.0001668100537200059,39.230883,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,1.303198,0,39.23089202960784,96.2
0.0002782559402207126,37.789689,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,1.053076,0,37.78968652763171,96.5
0.00046415888336127773,36.248284,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.834723,0,36.248273878409535,96.4
0.000774263682681127,34.651496,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.655568,0,34.65150092959103,96.5
0.001291549665014884,33.124141,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.494053,0,33.124149545538515,96.5
0.002154434690031882,31.715632,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.360257,0,31.71564229592203,96.5
0.003593813663804626,30.474594,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.271677,0,30.474593208883473,96.5
0.005994842503189409,29.311508,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.203997,0,29.311503552883448,96.3
0.01,28.239261,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.15745,0,28.239253740101624,96.1
